"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20220201 ~ 20220228"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"서울특별시 강남구 역삼동","835-67","0835","0067","금호어울림","132.88","202202","14","208,000","14","2003","도곡로7길 22","","중개거래","서울 강남구"
"서울특별시 강남구 역삼동","706-24","0706","0024","진넥스빌2","23.85","202202","8","22,000","7","2003","언주로86길 7","","중개거래","서울 강남구"
"서울특별시 강남구 일원동","719","0719","0000","푸른마을아파트101동~111동","84.93","202202","12","209,000","12","1994","일원로14길 25","","중개거래","서울 강남구"
"서울특별시 강남구 일원동","731","0731","0000","한솔마을","84.73","202202","8","182,000","1","1994","광평로10길 6","","중개거래","서울 강남구, 서울 서초구"
"서울특별시 강남구 자곡동","619","0619","0000","엘에이치강남힐스테이트","59.93","202202","12","116,000","7","2015","자곡로3길 21","","중개거래","서울 강남구"
"서울특별시 강남구 자곡동","619","0619","0000","엘에이치강남힐스테이트","51.99","202202","14","110,000","8","2015","자곡로3길 21","","중개거래","서울 강남구"
"서울특별시 강남구 청담동","76-12","0076","0012","라테라스청담","18.55","202202","28","34,000","4","2018","학동로81길 9","","중개거래","서울 강남구"
"서울특별시 강남구 청담동","130-6","0130","0006","마크힐스웨스트윙","183.5","202202","25","570,000","6","2010","영동대로142길 21","","중개거래","서울 강남구"
"서울특별시 강남구 청담동","90-13","0090","0013","에비뉴나인티","49.61","202202","21","156,200","2","2020","도산대로59길 24","","직거래","-"
"서울특별시 강남구 청담동","122-35","0122","0035","청담신원아침도시마인","28.3132","202202","23","29,800","6","2013","도산대로85길 30","","중개거래","서울 강남구"
"서울특별시 강동구 강일동","684","0684","0000","강일리버파크6단지","84.53","202202","15","110,000","12","2009","아리수로94길 19","","직거래","-"
"서울특별시 강동구 고덕동","693","0693","0000","고덕그라시움","59.052","202202","6","139,300","11","2019","고덕로 333","","중개거래","경기 하남시, 서울 강동구"
"서울특별시 강동구 길동","457-1","0457","0001","강동렘브란트","15.86","202202","10","11,900","13","2014","천호대로177길 9","","중개거래","서울 강동구"
"서울특별시 강동구 길동","457-1","0457","0001","강동렘브란트","15.86","202202","12","10,500","13","2014","천호대로177길 9","","중개거래","서울 강동구"
"서울특별시 강동구 길동","414-4","0414","0004","강동와이시티","13.97","202202","10","9,400","13","2014","천호대로175길 42","","중개거래","서울 강동구"
"서울특별시 강동구 길동","456-3","0456","0003","강동큐브","12.49","202202","8","10,300","12","2013","천호대로175길 16","","중개거래","서울 강동구"
"서울특별시 강동구 길동","456-3","0456","0003","강동큐브","12.49","202202","15","15,500","11","2013","천호대로175길 16","","직거래","-"
"서울특별시 강동구 길동","415-13","0415","0013","강동큐브(2차)","12.52","202202","3","11,500","12","2013","진황도로 85","","중개거래","경기 파주시"
"서울특별시 강동구 길동","415-13","0415","0013","강동큐브(2차)","15.12","202202","17","11,400","14","2013","진황도로 85","","중개거래","서울 강동구"
"서울특별시 강동구 길동","415-13","0415","0013","강동큐브(2차)","12.52","202202","24","11,000","8","2013","진황도로 85","","중개거래","서울 강동구"
"서울특별시 강동구 길동","388-7","0388","0007","다성이즈빌","36.35","202202","16","34,500","13","2015","천중로42길 69","","중개거래","서울 강동구"
"서울특별시 강동구 길동","349-1","0349","0001","다성이즈빌(349-1)","17.2","202202","12","13,800","5","2012","천중로 200","","중개거래","서울 강동구"
"서울특별시 강동구 길동","457","0457","0000","청광플러스원큐브2차","14.495","202202","19","11,400","17","2013","천호대로175길 10","","중개거래","서울 강동구"
"서울특별시 강동구 둔촌동","94-16","0094","0016","동아","48.1","202202","12","60,500","3","1992","진황도로61길 18","","중개거래","서울 강동구"
"서울특별시 강동구 둔촌동","630","0630","0000","둔촌푸르지오","84.9","202202","3","133,500","10","2010","명일로 172","","중개거래","서울 강동구, 서울 서대문구"
"서울특별시 강동구 둔촌동","64","0064","0000","청호뜨레피움퍼스트아파트","56.65","202202","24","60,000","7","2016","천호대로 1176","","중개거래","서울 강동구"
"서울특별시 강동구 둔촌동","135-1","0135","0001","현대3","69.3","202202","7","90,000","4","1988","진황도로 211","","중개거래","서울 강동구"
"서울특별시 강동구 둔촌동","89","0089","0000","현대4","114.9","202202","28","123,000","11","1996","진황도로61길 7","","중개거래","서울 강동구"
"서울특별시 강동구 명일동","359","0359","0000","래미안솔베뉴","49.68","202202","9","120,000","20","2019","양재대로 1650","","중개거래","서울 강동구"
"서울특별시 강동구 상일동","515","0515","0000","고덕숲아이파크","59.97","202202","13","121,000","6","2018","고덕로80길 134","","직거래","-"
"서울특별시 강동구 성내동","551-4","0551","0004","다성이즈빌","25.92","202202","5","18,000","5","2014","성내로8길 22","","중개거래","서울 강동구"
"서울특별시 강동구 성내동","598","0598","0000","성내1차e-편한세상","84.49","202202","5","104,000","11","2003","천호대로168길 58","","중개거래","경기 안양동안구"
"서울특별시 강동구 성내동","600","0600","0000","성내3차e-편한세상","84.23","202202","4","71,200","10","2004","천호대로162길 35","","직거래","-"
"서울특별시 강동구 천호동","570","0570","0000","강변그대가갤럭시","84.96","202202","12","125,000","10","2009","올림픽로89길 55","","중개거래","서울 강동구"
"서울특별시 강북구 미아동","1357","1357","0000","삼각산아이원","84.705","202202","4","78,800","1","2003","삼양로19길 113","","중개거래","서울 강북구"
"서울특별시 강북구 미아동","1353","1353","0000","에스케이북한산시티","84.86","202202","12","80,900","15","2004","솔샘로 174","","중개거래","서울 강북구"
"서울특별시 강북구 번동","136","0136","0000","번동솔그린","84.6","202202","19","62,000","1","1999","한천로109길 83","","중개거래","서울 강북구, 서울 성북구"
"서울특별시 강북구 번동","242","0242","0000","주공1단지","41.3","202202","10","52,500","12","1991","한천로105길 23","","중개거래","서울 강북구"
"서울특별시 강북구 번동","139","0139","0000","해모로아파트","84.93","202202","23","70,000","19","2003","오현로 156","","중개거래","서울 강북구"
"서울특별시 강북구 번동","148-490","0148","0490","훼밀리힐","59.16","202202","9","40,300","7","1996","오현로 141","","중개거래","서울 동대문구"
"서울특별시 강북구 수유동","733","0733","0000","수유역하이씨티","12.33","202202","22","9,000","5","2014","도봉로71가길 16","","중개거래","서울 강북구"
"서울특별시 강북구 수유동","48-8","0048","0008","수유프리미어엠","19","202202","22","11,000","4","2016","덕릉로 76","","중개거래","서울 강북구"
"서울특별시 강북구 수유동","223-7","0223","0007","예도팔라티움","13.47","202202","11","17,800","8","2020","노해로 34","","중개거래","서울 강북구"
"서울특별시 강서구 가양동","1490","1490","0000","가양도시개발9-2단지","39.6","202202","11","70,000","12","1993","허준로 234","","중개거래","서울 강서구"
"서울특별시 강서구 가양동","1475","1475","0000","강변","39.6","202202","3","80,000","9","1992","허준로 139","","중개거래","서울 강서구"
"서울특별시 강서구 가양동","1495","1495","0000","한보구암마을","84.39","202202","15","59,800","8","1999","허준로 76","","직거래","-"
"서울특별시 강서구 내발산동","716-16","0716","0016","그린씨티","81.799","202202","12","66,000","3","2004","강서로47라길 79","","중개거래","서울 강서구"
"서울특별시 강서구 내발산동","756","0756","0000","마곡수명산파크7단지","84.53","202202","16","95,000","4","2008","수명로2가길 22","","중개거래","서울 강서구"
"서울특별시 강서구 내발산동","698-11","0698","0011","한서3차","72.29","202202","11","43,700","7","2004","강서로47다길 10-6","","중개거래","서울 강서구"
"서울특별시 강서구 등촌동","713","0713","0000","대동황토방2","59.93","202202","13","86,800","13","2003","공항대로55길 50","","중개거래","서울 강서구"
"서울특별시 강서구 등촌동","702","0702","0000","주공10","58.14","202202","7","80,000","4","1995","화곡로63가길 71","","직거래","-"
"서울특별시 강서구 등촌동","656-17","0656","0017","지엠벨리","25.61","202202","14","38,500","15","2019","화곡로 374","","직거래","-"
"서울특별시 강서구 마곡동","743","0743","0000","마곡엠밸리6단지","84.99","202202","7","165,000","3","2014","마곡서1로 100","","중개거래","서울 강서구"
"서울특별시 강서구 방화동","619-7","0619","0007","AirPalace(619-7)","14.1","202202","9","9,250","4","2013","개화동로27가길 33","","중개거래","서울 강서구"
"서울특별시 강서구 방화동","819","0819","0000","개화","133.98","202202","23","115,000","10","1994","금낭화로 167","","중개거래","서울 강서구"
"서울특별시 강서구 방화동","898","0898","0000","경동팰리스힐","12.66","202202","12","8,900","7","2014","양천로14길 44","","중개거래","서울 강서구"
"서울특별시 강서구 방화동","895","0895","0000","동일스위트리버2차","59.47","202202","16","56,000","1","2009","금낭화로24가길 6","","중개거래","서울 강서구"
"서울특별시 강서구 염창동","263","0263","0000","태진한솔","58.87","202202","19","71,000","1","1994","공항대로71길 54","","중개거래","서울 강서구"
"서울특별시 강서구 화곡동","920-5","0920","0005","SPACE(920-5)","19.75","202202","5","15,000","15","2014","곰달래로 86","","중개거래","서울 강서구"
"서울특별시 강서구 화곡동","920-5","0920","0005","SPACE(920-5)","19.75","202202","7","14,700","15","2014","곰달래로 86","","중개거래","서울 강서구"
"서울특별시 강서구 화곡동","920-5","0920","0005","SPACE(920-5)","19.75","202202","12","15,300","15","2014","곰달래로 86","","중개거래","서울 강서구"
"서울특별시 강서구 화곡동","42-11","0042","0011","강서타워","94.06","202202","28","39,500","2","2009","까치산로18라길 5-47","","중개거래","서울 강서구, 서울 양천구"
"서울특별시 강서구 화곡동","161-7","0161","0007","대호스카이빌","68.68","202202","8","24,500","5","2001","곰달래로31마길 43","","중개거래","서울 강서구"
"서울특별시 강서구 화곡동","921-18","0921","0018","동훈타마르(921-18)","58.55","202202","11","32,000","9","2011","곰달래로 70","","중개거래","서울 양천구"
"서울특별시 강서구 화곡동","899-31","0899","0031","디아인스","23.93","202202","15","27,700","14","2018","곰달래로 122","","중개거래","서울 강서구"
"서울특별시 강서구 화곡동","897-2","0897","0002","루체비스타","29.47","202202","11","23,000","5","2017","강서로10길 19","","중개거래","서울 강서구"
"서울특별시 강서구 화곡동","343-71","0343","0071","벨라팰리스","24.93","202202","21","23,000","8","2015","곰달래로23길 26","","중개거래","서울 강서구"
"서울특별시 강서구 화곡동","343-37","0343","0037","성광","60.72","202202","10","45,000","7","2008","곰달래로23길 16","","중개거래","서울 강서구"
"서울특별시 강서구 화곡동","925-11","0925","0011","세교예지안2차","18.83","202202","15","13,000","7","2013","월정로20길 68-5","","중개거래","서울 강서구"
"서울특별시 강서구 화곡동","1168","1168","0000","스위트드림아파트","50.38","202202","10","46,500","2","2019","화곡로21길 71-1","","중개거래","서울 강서구"
"서울특별시 강서구 화곡동","1168","1168","0000","스위트드림아파트","49.53","202202","25","49,000","5","2019","화곡로21길 71-1","","중개거래","서울 강서구, 서울 양천구"
"서울특별시 강서구 화곡동","353-20","0353","0020","우성","92.16","202202","3","49,000","4","2002","강서로17나길 33-17","","중개거래","서울 강서구"
"서울특별시 강서구 화곡동","1145","1145","0000","우장산롯데캐슬","85","202202","21","95,000","14","2003","공항대로 382","","직거래","-"
"서울특별시 강서구 화곡동","916-2","0916","0002","위하우스아파트","30.18","202202","8","30,000","7","2016","월정로20길 86-4","","직거래","-"
"서울특별시 강서구 화곡동","919-1","0919","0001","유림노르웨이숲(919-1)","64.05","202202","19","59,000","5","2004","곰달래로 96","","중개거래","서울 강서구"
"서울특별시 강서구 화곡동","1155","1155","0000","탑건진선미","84.85","202202","18","72,800","7","2005","초록마을로 166","","중개거래","서울 강서구"
"서울특별시 강서구 화곡동","925-26","0925","0026","트리움팰리스","21.7","202202","21","13,000","10","2013","월정로20길 62-7","","직거래","-"
"서울특별시 강서구 화곡동","61-116","0061","0116","한솔(61-116)","59.78","202202","12","23,000","3","2006","초록마을로6길 20","","중개거래","서울 강서구"
"서울특별시 강서구 화곡동","1065-4","1065","0004","한울에이치밸리움A동","20.92","202202","8","26,000","8","2019","강서로33길 23","","중개거래","서울 강서구"
"서울특별시 강서구 화곡동","1091","1091","0000","화곡푸르지오","103.92","202202","18","118,000","8","2002","화곡로13길 107","","중개거래","경기 부천시, 서울 강서구"
"서울특별시 강서구 화곡동","1091","1091","0000","화곡푸르지오","84.914","202202","21","109,500","7","2002","화곡로13길 107","","중개거래","서울 강서구"
"서울특별시 관악구 남현동","1135","1135","0000","우림루미아트","84.51","202202","9","99,800","3","2004","남현길 91","","중개거래","서울 관악구, 서울 동작구"
"서울특별시 관악구 봉천동","1712","1712","0000","관악드림(삼성)","84.96","202202","11","107,500","19","2003","성현로 80","","중개거래","서울 관악구"
"서울특별시 관악구 봉천동","1717","1717","0000","관악푸르지오","59.58","202202","4","90,500","7","2004","관악로30길 27","","중개거래","서울 관악구"
"서울특별시 관악구 봉천동","296","0296","0000","낙성대현대(296)","59.78","202202","7","83,000","8","1998","낙성대로 37","","중개거래","서울 관악구"
"서울특별시 관악구 봉천동","1713","1713","0000","낙성대현대홈타운","114.919","202202","17","130,000","20","2002","솔밭로7길 16","","중개거래","서울 관악구, 서울 서초구"
"서울특별시 관악구 봉천동","1629-2","1629","0002","동아타운","28.8","202202","25","29,900","10","1999","봉천로 576","","중개거래","서울 관악구"
"서울특별시 관악구 봉천동","1708","1708","0000","두산","84.87","202202","14","132,000","20","2000","봉천로 387","","중개거래","서울 관악구"
"서울특별시 관악구 봉천동","1708","1708","0000","두산","114.99","202202","18","132,000","18","2000","봉천로 387","","중개거래","서울 관악구"
"서울특별시 관악구 봉천동","1654-14","1654","0014","미래","66.595","202202","11","51,000","3","2005","남부순환로 1990","","중개거래","서울 관악구"
"서울특별시 관악구 봉천동","1718","1718","0000","벽산블루밍","101.95","202202","18","112,000","2","2005","은천로 93","","중개거래","서울 관악구"
"서울특별시 관악구 봉천동","1511-29","1511","0029","신양","39.56","202202","8","21,000","5","2004","봉천로21길 62","","중개거래","서울 동작구"
"서울특별시 관악구 봉천동","893-1","0893","0001","외3필지프라비다M","30.12","202202","5","30,000","9","2014","남부순환로 1777-7","","중개거래","서울 관악구"
"서울특별시 관악구 신림동","1655-17","1655","0017","G밸리마인드","14.96","202202","3","21,050","15","2021","시흥대로 558-1","","직거래","-"
"서울특별시 관악구 신림동","1655-17","1655","0017","G밸리마인드","14.96","202202","9","21,400","14","2021","시흥대로 558-1","","직거래","-"
"서울특별시 관악구 신림동","1735","1735","0000","관악산휴먼시아2단지","59.96","202202","15","65,000","6","2008","난곡로 55","","중개거래","서울 관악구"
"서울특별시 관악구 신림동","1735","1735","0000","관악산휴먼시아2단지","114.7","202202","17","85,000","11","2008","난곡로 55","","직거래","-"
"서울특별시 관악구 신림동","1705","1705","0000","금호(1차)","59.4","202202","26","51,000","3","1997","대학18길 9","","중개거래","서울 관악구"
"서울특별시 관악구 신림동","1695","1695","0000","동부","50.57","202202","28","60,000","14","1993","신원로 26","","직거래","-"
"서울특별시 관악구 신림동","1700","1700","0000","라이프","84.38","202202","15","67,000","8","1996","문성로 86","20220223","중개거래","서울 관악구"
"서울특별시 관악구 신림동","1700","1700","0000","라이프","84.38","202202","19","67,000","8","1996","문성로 86","","중개거래","서울 관악구"
"서울특별시 관악구 신림동","1700","1700","0000","라이프","59.04","202202","19","58,200","4","1996","문성로 86","","중개거래","서울 관악구"
"서울특별시 관악구 신림동","497-5","0497","0005","보라매해담채","12.89","202202","23","12,000","6","2012","신사로 134","","중개거래","서울 동작구"
"서울특별시 관악구 신림동","497-5","0497","0005","보라매해담채","12.89","202202","24","22,000","12","2012","신사로 134","","직거래","-"
"서울특별시 관악구 신림동","1724","1724","0000","서초","77.75","202202","17","64,000","13","2003","호암로16길 5","","중개거래","서울 관악구"
"서울특별시 관악구 신림동","1730","1730","0000","신림푸르지오","84.79","202202","14","65,500","6","2005","남부순환로 1430","","직거래","-"
"서울특별시 관악구 신림동","1694","1694","0000","신림현대","82.2","202202","15","85,000","9","1993","신림로29길 8","","중개거래","서울 관악구"
"서울특별시 관악구 신림동","1715","1715","0000","우방","59.74","202202","4","64,500","11","1999","관천로27길 2","","중개거래","서울 관악구"
"서울특별시 관악구 신림동","1715","1715","0000","우방","59.74","202202","15","63,500","2","1999","관천로27길 2","","중개거래","서울 관악구"
"서울특별시 광진구 광장동","218-1","0218","0001","극동1","126.94","202202","6","233,000","11","1985","아차산로 552","","중개거래","서울 광진구"
"서울특별시 광진구 구의동","199-18","0199","0018","삼성쉐르빌","84.94","202202","12","111,000","16","2001","구의강변로 106","","중개거래","서울 광진구"
"서울특별시 광진구 구의동","631-1","0631","0001","현대프라임","59.82","202202","21","117,000","4","1997","광나루로56길 29","","중개거래","서울 광진구"
"서울특별시 광진구 자양동","813","0813","0000","광진하우스토리한강","141.54","202202","16","162,855","13","2008","구의강변로1길 44","","직거래","-"
"서울특별시 광진구 자양동","227-7","0227","0007","더샵스타시티","139.6","202202","17","227,000","23","2007","아차산로 262","","중개거래","서울 광진구"
"서울특별시 광진구 자양동","792","0792","0000","자양10차현대홈타운","84.46","202202","12","155,000","10","2002","뚝섬로34길 25-19","","중개거래","서울 광진구"
"서울특별시 광진구 화양동","530","0530","0000","씨즈건대힐스","14.23","202202","9","15,000","5","2017","광나루로20길 17","","중개거래","서울 광진구"
"서울특별시 광진구 화양동","111-89","0111","0089","위너스힐(111-89)","58.05","202202","24","50,000","10","2021","광나루로20길 34","","직거래","-"
"서울특별시 구로구 개봉동","489","0489","0000","개봉동현대아이파크","84.98","202202","9","108,000","4","2006","개봉로2길 133-15","","중개거래","서울 구로구"
"서울특별시 구로구 개봉동","492","0492","0000","개봉푸르지오","84.83","202202","10","99,000","7","2014","남부순환로 775","","중개거래","서울 구로구"
"서울특별시 구로구 개봉동","60-101","0060","0101","거성푸르뫼","59.89","202202","15","50,000","15","1993","고척로 85","","중개거래","서울 구로구"
"서울특별시 구로구 개봉동","476","0476","0000","한마을","59.57","202202","19","82,000","22","1999","경인로 382","","직거래","-"
"서울특별시 구로구 고척동","334","0334","0000","벽산","84.878","202202","19","106,000","4","2003","경인로 390","","직거래","-"
"서울특별시 구로구 고척동","329","0329","0000","청솔우성","84.66","202202","12","70,000","7","2000","중앙로 101","","중개거래","서울 양천구"
"서울특별시 구로구 구로동","716-17","0716","0017","(716-17)","35.94","202202","25","23,000","2","2000","구로동로15길 1-6","","중개거래","서울 구로구"
"서울특별시 구로구 구로동","717-22","0717","0022","(717-22)함양주택","47.83","202202","16","22,750","5","1999","구로동로15길 13-8","","중개거래","서울 구로구"
"서울특별시 구로구 구로동","1265","1265","0000","구로두산","44.64","202202","11","58,000","12","1998","도림로 59","","중개거래","서울 구로구"
"서울특별시 구로구 구로동","1278","1278","0000","구로두산위브","36.88","202202","10","59,000","15","2006","디지털로31길 85","","중개거래","서울 구로구"
"서울특별시 구로구 구로동","1256","1256","0000","구로현대","72.33","202202","6","74,800","11","1992","디지털로 319","","중개거래","서울 구로구"
"서울특별시 구로구 구로동","107-1","0107","0001","대림역대성스카이렉스","84.8","202202","4","70,000","13","2006","공원로 27","","중개거래","서울 강서구"
"서울특별시 구로구 구로동","106-2","0106","0002","대림역포스큐","14.579","202202","14","12,000","14","2015","공원로 11","","직거래","-"
"서울특별시 구로구 구로동","106-2","0106","0002","대림역포스큐","14.579","202202","15","12,250","19","2015","공원로 11","","직거래","-"
"서울특별시 구로구 구로동","98","0098","0000","대림오페라타워","99.09","202202","4","51,000","13","1996","구로중앙로 60","","중개거래","서울 구로구"
"서울특별시 구로구 구로동","1257","1257","0000","럭키","71.4","202202","7","72,000","9","1992","도림로 107","","중개거래","서울 구로구"
"서울특별시 구로구 구로동","97","0097","0000","로제리움2차","14.04","202202","8","12,400","18","2014","가마산로26길 5","","직거래","-"
"서울특별시 구로구 구로동","97","0097","0000","로제리움2차","14.91","202202","9","11,250","14","2014","가마산로26길 5","","중개거래","서울 구로구"
"서울특별시 구로구 구로동","98-10","0098","0010","비즈트위트그린","15.11","202202","1","10,400","15","2012","구로중앙로18길 23","","직거래","-"
"서울특별시 구로구 구로동","98-10","0098","0010","비즈트위트그린","15.11","202202","5","12,500","15","2012","구로중앙로18길 23","","중개거래","서울 구로구"
"서울특별시 구로구 구로동","98-10","0098","0010","비즈트위트그린","15.11","202202","18","10,000","15","2012","구로중앙로18길 23","","직거래","-"
"서울특별시 구로구 구로동","104-8","0104","0008","비즈트위트레드","20.84","202202","16","19,000","7","2016","가마산로 285","","중개거래","서울 구로구"
"서울특별시 구로구 구로동","44-5","0044","0005","비즈트위트레인보우","15.58","202202","19","12,000","6","2012","공원로6길 25","","직거래","-"
"서울특별시 구로구 구로동","108-2","0108","0002","새솔금호","59.9","202202","16","58,000","5","1996","공원로 35","","중개거래","서울 구로구"
"서울특별시 구로구 구로동","104-9","0104","0009","성호메이플라워멤버스빌","31.76","202202","5","15,500","16","2002","가마산로 283","","중개거래","서울 구로구"
"서울특별시 구로구 구로동","23","0023","0000","우성(23)","84.95","202202","12","107,000","3","1985","공원로6가길 76","","중개거래","서울 구로구"
"서울특별시 구로구 구로동","685-124","0685","0124","중앙하이츠","79.97","202202","19","84,000","12","1987","구일로8길 92","","중개거래","서울 구로구"
"서울특별시 구로구 구로동","97-4","0097","0004","하나세인스톤2차","19.33","202202","11","13,500","13","2011","가마산로 284","20220218","직거래","-"
"서울특별시 구로구 구로동","97-4","0097","0004","하나세인스톤2차","19.33","202202","18","13,000","12","2011","가마산로 284","","중개거래","서울 용산구"
"서울특별시 구로구 구로동","97-4","0097","0004","하나세인스톤2차","19.33","202202","18","13,000","14","2011","가마산로 284","","중개거래","서울 용산구"
"서울특별시 구로구 구로동","97-4","0097","0004","하나세인스톤2차","19.33","202202","18","14,000","15","2011","가마산로 284","","중개거래","서울 용산구"
